SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Gujarat Region,1901,4.2,0,0.6,1.6,7,60.3,240.2,205.4,18.1,16.6,0,0.3,554.3,4.2,9.2,524,17
Gujarat Region,1902,3.9,0,0,0.6,1,32.8,229.8,299,281.2,2.3,1.5,11.9,863.9,3.9,1.5,842.8,15.7
Gujarat Region,1903,0.3,0.1,1.4,0,12.3,30.1,452.9,202,183.2,5.4,0,0,887.6,0.3,13.6,868.2,5.4
Gujarat Region,1904,0.8,10.6,16.8,0.2,3.9,48.3,194.8,71.8,138,6.1,0.1,1.2,492.6,11.3,20.9,453,7.4
Gujarat Region,1905,0.1,0.7,1.1,0.3,0,20.1,668.3,37.9,81.3,1.4,0.2,0.1,811.5,0.8,1.3,807.6,1.7
Gujarat Region,1906,0,12.7,0,0,0.1,177.5,311.5,247.1,134.8,5.9,0,0.9,890.6,12.7,0.2,870.9,6.8
Gujarat Region,1907,0.3,14.6,0.2,2.1,0.4,72.4,325,564.4,17.5,0,0,0,997,15,2.7,979.3,0
Gujarat Region,1908,5.2,0.3,0.2,0,0.1,67.5,562.1,366,25.1,1,0,0,1027.5,5.5,0.3,1020.7,1
Gujarat Region,1909,0.1,0.5,0.1,5.5,2.6,160.5,415.6,242.6,143.3,1.5,0,5.5,977.8,0.6,8.2,962,7
Gujarat Region,1910,0.6,0,0,0.1,0,262.6,290.2,338.5,44.7,23.1,14.8,0,974.6,0.6,0.1,936,37.9
Gujarat Region,1911,3.5,0,18.9,0,0.9,158,66.7,93.4,57.7,0.5,3.8,0.1,403.5,3.5,19.8,375.8,4.4
Gujarat Region,1912,0.1,0,0,0.2,0.6,105.1,624.9,291.1,38.9,13.6,44.1,0,1118.5,0.1,0.8,1060,57.7
Gujarat Region,1913,0,0,0.1,0,13.5,364.5,423.2,213.8,146,1.1,0.1,0.3,1162.6,0,13.7,1147.5,1.4
Gujarat Region,1914,0,3.7,0,0.2,5.4,222.3,488.8,137.7,234.9,8.5,6,0,1107.5,3.7,5.6,1083.7,14.4
Gujarat Region,1915,7.5,1.9,12.1,1.6,2.3,128.7,128.9,116.3,52.7,112.3,2.8,0.2,567.3,9.4,16,426.6,115.3
Gujarat Region,1916,0,0,0.2,0.1,8.7,126.7,168.3,418.9,193.6,32.4,4,0,952.9,0,9,907.5,36.4
Gujarat Region,1917,0.4,7.4,0,5.3,98.3,126.8,320.1,379.2,353.7,233.7,0,0,1524.9,7.8,103.6,1179.8,233.7
Gujarat Region,1918,0.4,0,0.2,0,12.1,37.8,110.5,213.4,17.6,0.2,0.5,0,392.6,0.4,12.3,379.3,0.7
Gujarat Region,1919,6.1,0.1,0,1.3,2.1,110,335.9,481.2,78.1,33,19.6,0,1067.4,6.2,3.5,1005.2,52.6
Gujarat Region,1920,44.1,1.8,0,0.2,63.2,189.3,268.1,110.4,31.7,0,0,0,708.9,45.9,63.4,599.5,0
Gujarat Region,1921,0.8,0,0,0,0,31.1,529.7,205.4,405.1,0.4,0,0.2,1172.8,0.8,0,1171.3,0.6
Gujarat Region,1922,2.1,0,0,0,0,130.8,314.8,106.8,314.3,5,4.1,0.7,878.7,2.1,0,866.8,9.8
Gujarat Region,1923,0,5.2,1.5,4,4.6,2.6,295,157.5,81.9,0.9,0,0,553.2,5.2,10.1,537,1
Gujarat Region,1924,1.4,0,0.4,0,5.5,117.3,297.3,267,198.7,21,0,1,909.6,1.4,6,880.3,22
Gujarat Region,1925,0,0,0.1,0,25.8,264.6,199.3,81.8,14.2,0.4,6.6,0.2,593.1,0,26,559.9,7.2
Gujarat Region,1926,6.5,0,0.9,2,8.5,20.1,406.1,471,359.1,0.1,0.1,0,1274.5,6.5,11.5,1256.4,0.2
Gujarat Region,1927,0,4.9,0,0.2,1.9,139.4,903.3,199.2,113.9,26.2,18.3,14.8,1422.1,4.9,2.1,1355.8,59.3
Gujarat Region,1928,0,0.2,0,0,0,51.5,372.7,220.5,138.3,19.6,16.4,1.8,821,0.2,0,783,37.8
Gujarat Region,1929,1.9,0,0,5.5,0.9,123.6,353.7,150.7,20.6,7.2,0.6,11.6,676.3,1.9,6.4,648.6,19.4
Gujarat Region,1930,2,0.2,0.2,0.1,1.1,160.2,426,152.9,102.8,48.2,0,0.9,894.7,2.2,1.5,841.9,49.1
Gujarat Region,1931,0,0.1,0,0,1.7,18.4,332.5,546.3,86.4,113.6,4.2,1.3,1104.6,0.1,1.7,983.7,119.1
Gujarat Region,1932,0,0,0.8,0.4,0.4,57.9,540,146.6,129.2,30.1,0.9,0.3,906.6,0,1.6,873.7,31.3
Gujarat Region,1933,0,3.4,0.7,3.5,44.3,118.3,241.3,473.6,227.5,15.1,1.4,7.9,1137.1,3.4,48.6,1060.6,24.4
Gujarat Region,1934,0.1,0,0.7,0.3,0,219.7,266.1,392.9,81.2,0.9,17.6,0,979.6,0.1,1.1,959.9,18.5
Gujarat Region,1935,7.3,0,0,1.6,0.4,82.4,356,107.1,187.6,14.2,0.1,0.3,756.9,7.3,1.9,733.1,14.6
Gujarat Region,1936,0,1.8,1.3,0,0.8,189.4,133.4,52.9,175.8,1.3,52.5,0,609.3,1.8,2.1,551.5,53.9
Gujarat Region,1937,0,4,0.2,0.1,0,260.6,577.8,32,320.1,3.3,0.1,4.8,1203.1,4,0.3,1190.6,8.2
Gujarat Region,1938,0,0.1,0,0,15.8,265,342.6,134.6,26.3,30.3,0,0,814.9,0.1,15.8,768.6,30.4
Gujarat Region,1939,0,1.1,3.1,0,0,30.3,210.3,265.3,91.6,1.3,2.4,0.2,605.6,1.1,3.1,597.5,3.9
Gujarat Region,1940,11.3,4.4,10.1,2,1.5,152.6,208.3,241.8,119.8,91.5,26.7,0,870.1,15.7,13.5,722.6,118.2
Gujarat Region,1941,1,12.5,0.1,0.7,0.9,42.5,671.9,187.7,40.7,3.3,0,0.4,961.8,13.5,1.8,942.9,3.7
Gujarat Region,1942,2,13.7,0,0,9,130.1,501.1,367.8,162.6,0,0,0.3,1186.8,15.8,9,1161.6,0.4
Gujarat Region,1943,0.1,0,0,0.6,19,132.8,484.2,80.9,152.2,42.6,0.4,0,912.8,0.1,19.5,850.1,43
Gujarat Region,1944,2.9,0,5.1,2.3,2.3,110.1,625.9,502.7,72.2,16.9,0,0,1340.6,2.9,9.8,1310.9,17
Gujarat Region,1945,7,0,0,1.9,0.7,160.9,518.8,245.3,339.5,2.7,0,0,1277,7,2.6,1264.6,2.7
Gujarat Region,1946,0,2.1,0,1.1,4.2,233.3,291.7,469.6,104.6,1.1,34.4,5.5,1147.7,2.1,5.3,1099.3,41
Gujarat Region,1947,0.4,0,0,40.4,0,5.4,216.7,257.1,252.7,8.3,2.3,0,783.4,0.4,40.4,731.9,10.7
Gujarat Region,1948,11.7,0.4,0,0,0.7,65.5,185.9,115.9,49.8,18.2,25.1,0.6,473.9,12.1,0.7,417.2,43.9
Gujarat Region,1949,0,0.1,0,0,2.5,35.2,290,205.5,241.1,23.5,2.5,0,800.3,0.1,2.5,771.8,25.9
Gujarat Region,1950,0,0,0,0,0.1,11.7,730.7,76.9,306.6,3.3,0,0,1129.3,0,0.1,1125.9,3.3
Gujarat Region,1951,0,0,0.4,0.3,2.1,65.6,218.6,162.6,7.3,13.9,7.3,0.3,478.3,0,2.7,454.1,21.5
Gujarat Region,1952,0,0,0,0,0.2,138.7,487.7,136.4,11.6,1.8,0,0,776.6,0,0.3,774.5,1.8
Gujarat Region,1953,12.6,0,0,0.1,0.3,143.6,240,552.9,104.5,1,0,0.4,1055.5,12.6,0.4,1041,1.4
Gujarat Region,1954,0.1,2,5.5,0,0.2,114.3,355,214.1,522,32,0.1,2.6,1248,2.2,5.7,1205.5,34.7
Gujarat Region,1955,0.3,0.1,0.1,0.7,3.1,104.9,109.9,393.5,311.4,51.4,0.1,0,975.7,0.4,4,919.8,51.5
Gujarat Region,1956,0,0.1,0,0.1,26.5,102.9,661.3,329.8,135,107.4,2.2,1.4,1366.6,0.1,26.6,1229,110.9
Gujarat Region,1957,2.3,0,0.2,0,5.7,151.8,257.1,198.7,16.1,7.5,8.2,0.2,647.8,2.3,6,623.6,15.9
Gujarat Region,1958,1,0,0.3,1.1,0.7,103.4,336.8,287.1,335.9,46.9,10,0.1,1123.1,1,2,1063.2,56.9
Gujarat Region,1959,0,0,0,2.8,1.4,98,632.6,321.8,377.6,121.7,4.7,0,1560.7,0,4.2,1430.1,126.4
Gujarat Region,1960,1.6,0,0.2,0,8,131.4,218.3,210.6,73.1,6.3,0,0.1,649.6,1.6,8.2,633.3,6.5
Gujarat Region,1961,0,0.6,0,0,0.6,90.2,365.1,174.6,297.7,16.1,0.1,0,945.1,0.6,0.6,927.6,16.2
Gujarat Region,1962,0,0,1.4,1.3,2.3,49.3,298.8,181,227.1,0,8.9,2.9,773,0,5,756.2,11.8
Gujarat Region,1963,1.4,0,0.9,0.3,0.3,65.4,291.4,350.9,227.6,26,33.1,0.4,997.9,1.4,1.6,935.3,59.5
Gujarat Region,1964,0.1,0,0,0,4,106.2,371,296.3,114.6,0.5,0,0,892.7,0.1,4,888.1,0.5
Gujarat Region,1965,7.4,0,0.6,0.4,1.3,11.2,442.4,165.9,24.1,1,2.4,0.1,656.7,7.4,2.2,643.6,3.5
Gujarat Region,1966,0.2,0,0,0,0.5,123.1,316.4,71.2,183.9,0.8,0.3,0.1,696.7,0.2,0.6,694.6,1.2
Gujarat Region,1967,0,0,42.1,0.4,0.2,132.7,413.2,204.1,123.8,1,0,21.1,938.7,0,42.7,873.8,22.1
Gujarat Region,1968,0.1,0.3,1.2,0,0.1,33.8,279.1,297.1,45.8,10.3,0.1,0,668,0.4,1.4,655.9,10.3
Gujarat Region,1969,0,0.2,0,0,0,100.5,331.3,154.6,191.9,0,7.2,3.2,789,0.3,0,778.3,10.4
Gujarat Region,1970,0.2,1,0.1,0.1,5.3,262.6,261.2,495.8,321.8,5.8,0,0,1353.8,1.1,5.4,1341.4,5.8
Gujarat Region,1971,0,0.1,0,0.3,5,176.2,253.6,194.1,134.9,5,0,0,769.2,0.1,5.3,758.8,5
Gujarat Region,1972,0.1,2,0,0,1.8,87.8,208.4,180.4,23,0.2,0,0,503.8,2,1.9,499.7,0.2
Gujarat Region,1973,0.2,0.7,0.1,0,1.3,97.3,301.4,364.5,387,7.1,0,0.1,1159.6,0.9,1.4,1150.2,7.1
Gujarat Region,1974,0,0,0,0.6,51.3,22.1,135.5,103,68.7,38.6,0,1.5,421.3,0,51.9,329.3,40.1
Gujarat Region,1975,0,0,0.7,0,0.1,156,219.5,449.6,318.5,48.2,0,0,1192.7,0,0.9,1143.6,48.2
Gujarat Region,1976,3.2,0,0,0,0.2,342.5,584.4,482.4,149.5,0.2,57.7,0,1620.1,3.2,0.2,1558.8,57.9
Gujarat Region,1977,3.9,0.1,0.2,0.1,15.4,310.2,565.2,242.9,160,0.7,8.9,0,1307.7,4,15.8,1278.3,9.6
Gujarat Region,1978,0,1.1,0,2,0.3,155.5,280.7,405.7,52.3,6.1,26.2,5.9,935.8,1.1,2.3,894.2,38.2
Gujarat Region,1979,1,4.6,0,0,0.3,132.3,174.2,441.3,46.3,11.5,92.8,0.1,904.5,5.6,0.4,794.1,104.3
Gujarat Region,1980,0.1,0,0,0,0.1,261.3,268.7,249.1,24,0.8,0.4,17.6,822,0.1,0.1,803.1,18.7
Gujarat Region,1981,1.3,0,0.7,0.1,0.3,111.3,414.3,377,137.9,40.8,30.5,0,1114.2,1.3,1,1040.6,71.4
Gujarat Region,1982,0.4,0.1,0.1,2.6,45.8,39.6,274.4,266.3,25.8,6.5,96.6,0,758.3,0.5,48.5,606.2,103.1
Gujarat Region,1983,0.1,0,0,8,1.3,129.3,408.8,405.9,180.8,79.8,0,0,1213.9,0.1,9.4,1124.7,79.8
Gujarat Region,1984,0,0,0,0,0,85.2,250.5,421.4,89.2,5.7,1.7,0,853.6,0,0,846.3,7.3
Gujarat Region,1985,0,0,0,0.8,2.1,14.7,247.2,182.5,18.1,124,0,0.3,589.7,0,2.9,462.4,124.3
Gujarat Region,1986,0,0,0.1,0,2,180.1,161.8,149.4,5.9,1.5,1.1,0,501.8,0,2.1,497.1,2.6
Gujarat Region,1987,0.4,0.5,0,0,0.3,69.6,119.4,180.6,5.7,3.4,11.2,10.7,401.9,0.9,0.4,375.2,25.4
Gujarat Region,1988,0,0,0,2.5,0,74.7,573.1,245.5,190.4,11.2,0,0,1097.4,0,2.5,1083.7,11.2
Gujarat Region,1989,1.3,0,0,0,0.1,112.5,351.2,298.3,58,1.5,0,0,822.8,1.3,0.1,819.9,1.5
Gujarat Region,1990,0,3.3,0.2,0,32.9,79,221.6,530.5,226.2,16,4.8,3.8,1118.4,3.3,33.2,1057.3,24.6
Gujarat Region,1991,0,0,0,0,0,55.6,440.8,133.8,41.8,0,0.7,0,672.7,0,0,672,0.7
Gujarat Region,1992,0.8,0,0,0,0.9,132.8,256.3,244.4,244.1,19.2,2.5,0,901.1,0.8,0.9,877.7,21.7
Gujarat Region,1993,0,1.7,0.1,0,0,133.2,557.4,69.5,147.8,30.1,1.5,0,941.4,1.7,0.1,908,31.7
Gujarat Region,1994,7.2,0,0,0.1,0,320.7,490.6,370.1,343.7,2,0.1,0,1534.5,7.2,0.2,1525.1,2.1
Gujarat Region,1995,2.2,0,0.2,0,0,8.5,451,127.4,71,22.9,0.3,0.7,684.3,2.2,0.3,657.9,23.9
Gujarat Region,1996,1,0,0,0,0,123.9,374.6,228.5,151.3,23.3,0.1,0,902.8,1,0,878.3,23.4
Gujarat Region,1997,0.7,0,0.2,3.3,3.6,355.3,241.9,358,96.1,8.1,0.9,0.9,1068.9,0.7,7.1,1051.3,9.8
Gujarat Region,1998,0,0.1,0,0,0,111.5,312.2,196.1,346.9,98.8,4.4,0,1070,0.1,0,966.7,103.2
Gujarat Region,1999,0,2,0,0,7.4,158,219.4,55.1,57.2,69.5,0,0,568.4,2,7.4,489.6,69.5
Gujarat Region,2000,0,0.1,0,0,36.1,62.9,301.1,133,13.5,0.2,0,3.6,550.6,0.1,36.1,510.6,3.9
Gujarat Region,2001,6.1,0,0,0.2,2.1,216.9,320,256.8,17.8,28.9,0.2,0,849,6.1,2.3,811.5,29
Gujarat Region,2002,4.1,0,0.1,0,0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2,4.1,0.1,632.2,0.8
Gujarat Region,2003,0,6.1,0.1,0,0,209.3,518.7,314.6,109.5,1.9,0,0,1160.3,6.1,0.1,1152.2,1.9
Gujarat Region,2004,0,0,0,0,4.4,135.5,238.2,553.7,51.8,22.2,0,0,1005.8,0,4.4,979.1,22.3
Gujarat Region,2005,0,0,0,0,0.3,367.3,378.7,229.4,339.2,1.4,0,0,1316.4,0,0.3,1314.7,1.4
Gujarat Region,2006,0,0,0.8,0,0.2,123.5,576,624.8,140.6,9.2,2.9,0,1478,0,1.1,1464.9,12.1
Gujarat Region,2007,0.1,0.4,0,0,0.3,94,567.8,345.6,169.4,0,1.4,0,1178.9,0.5,0.3,1176.7,1.4
Gujarat Region,2008,0,0,0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1,0,3.3,893.9,14
Gujarat Region,2009,0,0,0.3,0,0,17,390.3,143.5,54.9,27.4,8.1,0,641.6,0,0.3,605.7,35.5
Gujarat Region,2010,0.2,0,0,0,0,59.3,328.2,431,216.6,12.2,41,0.2,1088.7,0.2,0,1035,53.4
Gujarat Region,2011,0,0.2,0,0,0,16.3,259.2,451.7,162.5,0.4,0,0,890.5,0.2,0,889.8,0.4
Gujarat Region,2012,0.1,0,0,0,0,34.4,178.2,230.3,263.8,7.1,0,0,714,0.1,0,706.7,7.1
Gujarat Region,2013,0,0.9,0.1,4.6,0,155.7,405.4,211.1,287.3,53.2,0.1,0,1118.6,0.9,4.7,1059.6,53.3
Gujarat Region,2014,5.7,0.1,0.2,1,1.3,11.6,307.5,138.6,235.1,3.3,1.3,0,705.7,5.8,2.5,692.8,4.6
Gujarat Region,2015,1.8,0,6.1,5.5,0.9,120.7,354.7,37.4,93.4,2.2,0.3,0,622.9,1.8,12.5,606.1,2.6
Gujarat Region,2016,0,0,0.6,0,0.4,31.8,255.8,303.9,105.3,66.9,0,0,764.9,0,1,696.9,66.9
